ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.000    0.000    0.000    0.000 enum.py:77(_is_private)
        1    0.000    0.000    0.000    0.000 cp1252.py:22(decode)
       48    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_pack_uint32)
        1    0.000    0.000    0.000    0.000 sprite.py:1062(LayeredDirty)
        4    0.000    0.000    0.000    0.000 _parser.py:264(getwhile)
       15    0.000    0.000    0.000    0.000 enum.py:46(_is_dunder)
        1    0.000    0.000    0.000    0.000 decoder.py:291(__init__)
        1    0.000    0.000    0.000    0.000 subprocess.py:132(CalledProcessError)
        6    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 typing.py:1599(__mro_entries__)
       24    0.000    0.000    0.000    0.000 _parser.py:82(groups)
        1    0.000    0.000    0.000    0.000 nonaga_board.py:93(NonagaIsland)
        1    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
       10    0.000    0.000    0.000    0.000 _parser.py:171(__setitem__)
        2    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        5    0.000    0.000    0.000    0.000 _compiler.py:465(_get_charset_prefix)
        6    0.000    0.000    0.000    0.000 nonaga_board.py:361(__init__)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1180(__init__)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1303(__init__)
        1    0.000    0.000    0.000    0.000 subprocess.py:476(CompletedProcess)
        9    0.000    0.000    0.000    0.000 typing.py:1294(_is_dunder)
        1    0.000    0.000    0.000    0.000 queue.py:316(_PySimpleQueue)
        1    0.000    0.000    0.000    0.000 threading.py:592(__init__)
        1    0.000    0.000    0.000    0.000 AI.py:8(AI)
        2    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        3    0.000    0.000    0.000    0.000 {built-in method pygame.base.get_sdl_version}
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1205(get_filename)
        1    0.000    0.000    0.000    0.000 nonaga_board.py:4(NonagaBoard)
        1    0.000    0.000    0.000    0.000 threading.py:428(notify_all)
       25    0.000    0.000    0.000    0.000 nonaga_board.py:304(__init__)
        2    0.000    0.000    0.000    0.000 typing.py:1358(__getattr__)
        4    0.000    0.000    0.000    0.000 _parser.py:371(_escape)
        9    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 typing.py:3789(__getattr__)
       30    0.000    0.000    0.000    0.000 cursors.py:90(<genexpr>)
        7    0.000    0.000    0.000    0.000 enum.py:114(_iter_bits_lsb)
       11    0.000    0.000    0.000    0.000 enum.py:57(_is_sunder)
       12    0.000    0.000    0.000    0.000 _compiler.py:568(isstring)
        2    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       30    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1013(create_module)
        9    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       26    0.000    0.000    0.000    0.000 _parser.py:112(__init__)
        1    0.000    0.000    0.000    0.000 sprite.py:262(DirtySprite)
        1    0.000    0.000    0.000    0.000 threading.py:674(Barrier)
        1    0.000    0.000    0.000    0.000 threading.py:281(__init__)
        6    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
        3    0.000    0.000    0.000    0.000 signal.py:51(decorator)
        1    0.000    0.000    0.000    0.000 version.py:35(SoftwareVersion)
        2    0.000    0.000    0.000    0.000 version.py:42(__new__)
        5    0.000    0.000    0.000    0.000 <frozen os>:779(check_str)
        1    0.000    0.000    0.000    0.000 threading.py:398(notify)
        1    0.000    0.000    0.000    0.000 sprite.py:1400(GroupSingle)
       31    0.000    0.000    0.000    0.000 signal.py:16(<lambda>)
       32    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1600(<genexpr>)
        1    0.000    0.000    0.000    0.000 threading.py:269(Condition)
        1    0.000    0.000    0.000    0.000 random.py:225(__init_subclass__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.000    0.000 _weakrefset.py:37(__init__)
        1    0.000    0.000    0.000    0.000 subprocess.py:169(TimeoutExpired)
        1    0.000    0.000    0.000    0.000 threading.py:303(__enter__)
        2    0.000    0.000    0.000    0.000 {built-in method math.log}
        2    0.000    0.000    0.000    0.000 typing.py:1221(<genexpr>)
       12    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:85(add)
        1    0.000    0.000    0.000    0.000 typing.py:1122(_is_unpacked_typevartuple)
        1    0.000    0.000    0.000    0.000 decoder.py:261(JSONDecoder)
       13    0.000    0.000    0.000    0.000 _compiler.py:426(_get_iscased)
        4    0.000    0.000    0.000    0.000 nonaga_constants.py:11(<genexpr>)
        3    0.000    0.000    0.000    0.000 enum.py:198(__get__)
        2    0.000    0.000    0.000    0.000 typing.py:1230(<genexpr>)
        1    0.000    0.000    0.000    0.000 cursors.py:56(Cursor)
        1    0.000    0.000    0.000    0.000 threading.py:141(_RLock)
        1    0.000    0.000    0.000    0.000 threading.py:318(_is_owned)
        1    0.000    0.000    0.000    0.000 __init__.py:127(WorkerQueue)
        1    0.000    0.000    0.000    0.000 random.py:880(SystemRandom)
       17    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 warnings.py:518(deprecated)
        1    0.000    0.000    0.000    0.000 nonaga_board.py:39(get_piece)
        4    0.000    0.000    0.000    0.000 {method 'extend' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 functools.py:66(wraps)
        2    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
        1    0.000    0.000    0.000    0.000 nonaga_board.py:301(NonagaTilesCoordinates)
        1    0.000    0.000    0.000    0.000 cProfile.py:29(Profile)
        1    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
       11    0.000    0.000    0.000    0.000 enum.py:910(<lambda>)
        1    0.000    0.000    0.000    0.000 warnings.py:442(catch_warnings)
        1    0.000    0.000    0.000    0.000 encoder.py:74(JSONEncoder)
        4    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1014(is_package)
        6    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
        1    0.000    0.000    0.000    0.000 encoder.py:105(__init__)
        1    0.000    0.000    0.000    0.000 decoder.py:20(JSONDecodeError)
        4    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 threading.py:306(__exit__)
       11    0.000    0.000    0.000    0.000 enum.py:1203(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1022(_set_native_id)
        1    0.000    0.000    0.000    0.000 nonaga_board.py:46(get_tile)
        1    0.000    0.000    0.000    0.000 menu_window.py:3(Button)
        2    0.000    0.000    0.000    0.000 enum.py:796(__members__)
        1    0.000    0.000    0.000    0.000 subprocess.py:221(Handle)
        1    0.000    0.000    0.000    0.000 __init__.py:53(MissingModule)
        3    0.000    0.000    0.000    0.000 {method 'to_bytes' of 'int' objects}
        1    0.000    0.000    0.000    0.000 <frozen codecs>:263(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:581(Event)
        2    0.000    0.000    0.000    0.000 copyreg.py:22(constructor)
        1    0.000    0.000    0.000    0.000 sprite.py:251(WeakSprite)
        1    0.000    0.000    0.000    0.000 threading.py:1265(_make_invoke_excepthook)
        1    0.000    0.000    0.000    0.000 nonaga_board.py:334(NonagaTile)
        4    0.000    0.000    0.000    0.000 nonaga_constants.py:18(<genexpr>)
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
        1    0.000    0.000    0.000    0.000 typing.py:1127(_is_typevar_like)
        1    0.000    0.000    0.000    0.000 sprite.py:701(OrderedUpdates)
        1    0.000    0.000    0.000    0.000 queue.py:31(Full)
        1    0.000    0.000    0.000    0.000 sprite.py:1588(collide_circle_ratio)
        1    0.000    0.000    0.000    0.000 subprocess.py:198(STARTUPINFO)
        1    0.000    0.000    0.000    0.000 threading.py:122(RLock)
        1    0.000    0.000    0.000    0.000 <frozen os>:1137(__init__)
        5    0.000    0.000    0.000    0.000 enum.py:1441(<lambda>)
        2    0.000    0.000    0.000    0.000 enum.py:1722(_simple_enum)
        1    0.000    0.000    0.000    0.000 __init__.py:176(FuncResult)
        1    0.000    0.000    0.000    0.000 threading.py:536(BoundedSemaphore)
        2    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        3    0.000    0.000    0.000    0.000 enum.py:1322(value)
        3    0.000    0.000    0.000    0.000 signal.py:50(_wraps)
        1    0.000    0.000    0.000    0.000 nonaga_board.py:358(NonagaPiece)
        1    0.000    0.000    0.000    0.000 sprite.py:1487(collide_rect_ratio)
        1    0.000    0.000    0.000    0.000 warnings.py:420(WarningMessage)
        1    0.000    0.000    0.000    0.000 queue.py:281(PriorityQueue)
        1    0.000    0.000    0.000    0.000 AI.py:9(__init__)
        1    0.000    0.000    0.000    0.000 menu_window.py:62(Menu)
        1    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 typing.py:164(_type_convert)
        1    0.000    0.000    0.000    0.000 sprite.py:642(Group)
        1    0.000    0.000    0.000    0.000 sprite.py:671(RenderUpdates)
        1    0.000    0.000    0.000    0.000 warnings.py:207(_OptionError)
        1    0.000    0.000    0.000    0.000 threading.py:1318(Timer)
        1    0.000    0.000    0.000    0.000 threading.py:1395(_DummyThread)
        2    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _thread._make_thread_handle}
        7    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        2    0.000    0.000    0.000    0.000 {built-in method sys.exc_info}
        2    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
        1    0.000    0.000    0.000    0.000 threading.py:1366(_DeleteDummyThreadOnDel)
        1    0.000    0.000    0.000    0.000 subprocess.py:129(SubprocessError)
        4    0.000    0.000    0.000    0.000 nonaga_constants.py:21(<genexpr>)
        1    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.000    0.000 version.py:56(PygameVersion)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.get_native_id}
        1    0.000    0.000    0.000    0.000 {built-in method _thread._get_main_thread_ident}
        1    0.000    0.000    0.000    0.000 warnings.py:212(_processoptions)
        1    0.000    0.000    0.000    0.000 sprite.py:357(WeakDirtySprite)
        1    0.000    0.000    0.000    0.000 threading.py:1348(_MainThread)
        1    0.000    0.000    0.000    0.000 queue.py:36(ShutDown)
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 subprocess.py:701(_use_posix_spawn)
        1    0.000    0.000    0.000    0.000 version.py:61(SDLVersion)
        1    0.000    0.000    0.000    0.000 threading.py:837(BrokenBarrierError)
        1    0.000    0.000    0.000    0.000 {method 'index' of 'tuple' objects}
        1    0.000    0.000    0.000    0.000 {method 'has_default' of 'typing.TypeVar' objects}
